iteration,loss
1,4.196258544921875
2,3.7949326038360596
3,3.5900044441223145
4,3.5336310863494873
5,3.5081777572631836
6,3.4824280738830566
7,3.378999948501587
8,3.444220781326294
9,3.3589611053466797
10,3.3024237155914307
11,3.3632166385650635
12,3.3875887393951416
13,3.304415702819824
14,3.2185020446777344
15,3.2665631771087646
16,3.1543564796447754
17,3.150721549987793
18,3.108902931213379
19,3.071415424346924
20,3.0181589126586914
21,3.002466917037964
22,2.9572510719299316
23,3.013080596923828
24,2.959846258163452
25,2.958496332168579
26,2.869091749191284
27,2.8153350353240967
28,2.8827781677246094
29,2.883403778076172
30,2.9136571884155273
31,2.85227108001709
32,2.759040355682373
33,2.8414595127105713
34,2.785046100616455
35,2.696249008178711
36,2.7570595741271973
37,2.7321581840515137
38,2.7901601791381836
39,2.730929374694824
40,2.710946798324585
41,2.783450126647949
42,2.7215306758880615
43,2.678077220916748
44,2.6965112686157227
45,2.551938772201538
46,2.681199073791504
47,2.601698160171509
48,2.606457233428955
49,2.642426013946533
50,2.6392624378204346
51,2.6557958126068115
52,2.600137233734131
53,2.659374713897705
54,2.6439297199249268
55,2.628683090209961
56,2.6290082931518555
57,2.651343822479248
58,2.6566877365112305
59,2.5009419918060303
60,2.5372085571289062
61,2.5111265182495117
62,2.6286206245422363
63,2.604193925857544
64,2.5110368728637695
65,2.620490312576294
66,2.557396411895752
67,2.5216939449310303
68,2.4956212043762207
69,2.524684190750122
70,2.550114870071411
71,2.5235891342163086
72,2.5806119441986084
73,2.5539400577545166
74,2.529003620147705
75,2.460256576538086
76,2.5671181678771973
77,2.5208122730255127
78,2.5096523761749268
79,2.5003256797790527
80,2.4575552940368652
81,2.5526208877563477
82,2.4937050342559814
83,2.4725682735443115
84,2.4706413745880127
85,2.4576663970947266
86,2.5030789375305176
87,2.424846887588501
88,2.416252613067627
89,2.4654688835144043
90,2.4328479766845703
91,2.490206003189087
92,2.4467689990997314
93,2.405327320098877
94,2.484588384628296
95,2.418602705001831
96,2.486227512359619
97,2.4902353286743164
98,2.4545819759368896
99,2.442742347717285
100,2.4622538089752197
101,2.490507125854492
102,2.4496941566467285
103,2.447061538696289
104,2.408458948135376
105,2.431307792663574
106,2.4464035034179688
107,2.363152503967285
108,2.4582467079162598
109,2.477257013320923
110,2.5011370182037354
111,2.3949573040008545
112,2.433966636657715
113,2.342191219329834
114,2.460416793823242
115,2.4159276485443115
116,2.5067074298858643
117,2.463583469390869
118,2.366926431655884
119,2.3942549228668213
120,2.3222837448120117
121,2.3410415649414062
122,2.4622673988342285
123,2.4318833351135254
